name,environment,source_ip,source_zone_code,server_code,port_number,destination_zone_code,protocol,action,status,notes,expires_at
ALLOW_INTERNET_TO_LB,PROD,,INTERNET,SRV-DC-LB-01,443,DMZ_PROD_DC,HTTPS,ALLOW,ACTIVE,Khách hàng truy cập LB Node 01,
ALLOW_INTERNET_TO_LB_02,PROD,,INTERNET,SRV-DC-LB-02,443,DMZ_PROD_DC,HTTPS,ALLOW,ACTIVE,Khách hàng truy cập LB Node 02,
ALLOW_LB_TO_GW,PROD,10.10.10.0/24,DMZ_PROD_DC,SRV-DC-GW-01,443,PROXY_PROD_DC,HTTPS,ALLOW,ACTIVE,Cụm LB chuyển tiếp đến cụm Gateway,
ALLOW_GW_TO_APP,PROD,10.10.20.0/24,PROXY_PROD_DC,SRV-DC-APP-IB-01,3000,APP_PROD_DC,HTTP,ALLOW,ACTIVE,Cụm Gateway truy cập cụm Frontend (IB/MB),
ALLOW_APP_TO_CORE_SVC,PROD,10.10.30.0/24,APP_PROD_DC,SRV-DC-SVC-CORE-01,8080,SERVICE_PROD_DC,HTTP,ALLOW,ACTIVE,Cụm Frontend gọi cụm Core Banking Services,
ALLOW_CORE_SVC_TO_DB,PROD,10.10.40.0/24,SERVICE_PROD_DC,SRV-DC-DB-CORE-01,5432,DB_PROD_DC,TCP,ALLOW,ACTIVE,Cụm Service truy cập cụm Database,
ALLOW_CORE_SVC_TO_REDIS,PROD,10.10.40.0/24,SERVICE_PROD_DC,SRV-DC-REDIS-01,6379,INFRA_PROD_DC,TCP,ALLOW,ACTIVE,Cụm Service truy cập cụm Redis,
ALLOW_CORE_SVC_TO_MQ,PROD,10.10.40.0/24,SERVICE_PROD_DC,SRV-DC-MQ-01,5672,INFRA_PROD_DC,AMQP,ALLOW,ACTIVE,Cụm Service truy cập cụm RabbitMQ,
ALLOW_MGMT_TO_ALL_SSH,PROD,10.10.200.0/24,MGMT_PROD_DC,SRV-DC-SVC-CORE-01,22,SERVICE_PROD_DC,SSH,ALLOW,ACTIVE,Quản trị viên SSH vào toàn bộ hệ thống DC,2026-12-31
ALLOW_DR_DB_SYNC,PROD,10.10.50.0/24,DB_PROD_DC,SRV-DR-DB-CORE-01,5432,DB_PROD_DR,TCP,ALLOW,ACTIVE,Đồng bộ dữ liệu DB từ DC sang DR,
ALLOW_DEV_STAFF_TO_DEV,DEV,10.40.100.0/24,INTERNAL_DEV,SRV-DEV-APP-01,,APP_DEV,TCP,ALLOW,ACTIVE,Nhân viên DEV toàn quyền truy cập môi trường DEV,2026-06-30
ALLOW_UAT_STAFF_TO_UAT,UAT,10.30.100.0/24,INTERNAL_UAT,SRV-UAT-APP-01,,APP_UAT,TCP,ALLOW,ACTIVE,Nhân viên Tester toàn quyền truy cập môi trường UAT,2026-08-31
DENY_ANY_TO_DB_DIRECT,PROD,0.0.0.0/0,,SRV-DC-DB-CORE-01,,DB_PROD_DC,TCP,DENY,ACTIVE,Chặn mọi truy cập trực tiếp vào vùng Database (trừ Service zone),
DENY_DEV_TO_PROD,PROD,10.40.0.0/16,SERVICE_DEV,SRV-DC-SVC-CORE-01,,SERVICE_PROD_DC,TCP,DENY,ACTIVE,Cách ly hoàn toàn DEV và PROD,
